已排时间地点,调课结果
"4-11周 星期二 8-10节 文萃楼I702,4-11周 星期五 8-10节 文萃楼I702","调课:8-11周 星期5 8-10节 李雪原/6120103363 文萃楼I702 调至:8-11周 星期5 8-10节 吴维/6120104760 文萃楼I702,调课:8-11周 星期2 8-10节 李雪原/6120103363 文萃楼I702 调至:8-11周 星期2 8-10节 吴维/6120104760 文萃楼I702"
"4-11周 星期二 3-5节 文萃楼F103,4-11周 星期四 3-5节 文萃楼F103",
"4-11周 星期二 3-5节 文萃楼B130,4-11周 星期四 3-5节 文萃楼B130",
"4-11周 星期三 6-7节 文萃楼F602,4-11周 星期五 6-7节 文萃楼F602",调课:4周 星期5 6-7节 孔运/6120220226 文萃楼F602 调至:4周 星期5 6-7节 孔运/6120220226 综教A201
"4-11周 星期一 8-9节 文萃楼F602,4-11周 星期四 6-7节 文萃楼F602",
"9-14周 星期一 8-10节 文萃楼F704,9-14周 星期三 8-10节 文萃楼F704",
"10-15周 星期一 6-7节 文萃楼F602,10-15周 星期四 8-10节 文萃楼F602",
"4-14周 星期一 8-10节 文萃楼I301,4-14周 星期五 8-10节 文萃楼I301",
"4-16周 星期二 3-4节 文萃楼G126,4-16周 星期四 3-4节 文萃楼G126",
"4-16周 星期二 6-7节 文萃楼F702,4-16周 星期五 6-7节 文萃楼F702","调课:4周 星期5 6-7节 刘波澜/6120103689,王永真/6120210180,章振宇/6120180161,黄英/6120100229 文萃楼F702 调至:4周 星期5 6-7节 黄英/6120100229,王永真/6120210180,章振宇/6120180161,刘波澜/6120103689 综教A301"
"4-16周 星期二 3-4节 文萃楼M135,4-16周 星期四 3-4节 文萃楼M135",
"4-16周 星期一 3-4节 文萃楼I301,4-16周 星期三 3-4节 文萃楼I301",
"4-16周 星期一 3-4节 文萃楼F501,4-16周 星期三 3-4节 文萃楼F501",
"9-16周 星期一 6-7节 文萃楼I704,9-16周 星期四 6-7节 文萃楼I704",
"9-16周 星期一 8-9节 文萃楼F702,9-16周 星期三 8-9节 文萃楼F702",
"9-16周 星期二 8-9节 文萃楼F601,9-16周 星期五 8-9节 文萃楼F601",
"1-16周 星期二 1-2节 文萃楼I504,1-16周 星期四 1-2节 文萃楼I504","调课:8周 星期2 1-2节 仇天阳/6120200173,刘志兵/6120104283 文萃楼I504 调至:8周 星期2 1-2节 刘志兵/6120104283,仇天阳/6120200173"
"1-16周 星期二 1-2节 文萃楼I604,1-16周 星期四 1-2节 文萃楼I604","调课:8周 星期2 1-2节 梁志强/6120110009,颜培/6120140116 文萃楼I604 调至:8周 星期2 1-2节 梁志强/6120110009,颜培/6120140116"
"1-12周 星期一 1-2节 文萃楼I504,1-12周 星期三 1-2节 文萃楼I504",
"1-12周 星期一 1-2节 文萃楼I604,1-12周 星期三 1-2节 文萃楼I604","停课:11周 星期3 1-2节卢继平/6120102941,孟凡武/6120100727 文萃楼I604"
"5-16周 星期二 3-4节 文萃楼G125,5-16周 星期四 3-4节 文萃楼G125","调课:8周 星期2 3-4节 李朝将/6120190139,郝娟/6120103290 文萃楼G125 调至:8周 星期2 3-4节 郝娟/6120103290,李朝将/6120190139"
"1-12周 星期一 6-7节 文萃楼I504,1-12周 星期三 6-7节 文萃楼I504",
"1-12周 星期一 6-7节 文萃楼I602,1-12周 星期三 6-7节 文萃楼I602",
"1-8周 星期三 11-13节 文萃楼I604,1-8周 星期五 8-10节 文萃楼I604",
"9-16周 星期二 8-9节 文萃楼I502,9-16周 星期五 8-9节 文萃楼I502",
1-16周 星期二 3-5节 文萃楼F305,"调课:8周 星期2 3-5节 杨晓楠/6120200095,薛庆/6120100744 文萃楼F305 调至:8周 星期2 3-5节 薛庆/6120100744,杨晓楠/6120200095 文萃楼M135"
"9-16周 星期二 6-7节 文萃楼I202,9-16周 星期五 6-7节 文萃楼I202",
"9-16周 星期三 6-7节 文萃楼F203,9-16周 星期五 6-7节 文萃楼F203",
